Year,Month,Date,Tsunami,Latitude,Longitude,Focal Depth (km),Magnitude,Deaths,Injuries,Country
1649,12.0,9.0,Yes,35.5,126.0,,6.5,,,YELLOW SEA
1650,1.0,4.0,,38.0,46.2,,,,,IRAN
1650,3.0,31.0,,-13.5,-72.0,,8.1,,,PERU
1650,3.0,,,36.4,25.4,,,,,GREECE
1651,,,Yes,,,,,,,PERU-CHILE
1652,6.0,8.0,,42.1,47.7,10.0,5.8,,,RUSSIA
1652,7.0,13.0,,25.4,100.5,,6.8,3000.0,,CHINA
1653,2.0,23.0,,38.2,28.2,,7.5,2500.0,,TURKEY
1653,7.0,,Yes,13.1,121.6,,,,,PHILIPPINES
1654,7.0,21.0,,34.3,105.5,,8.0,10400.0,,CHINA
1654,7.0,23.0,,41.4,13.6,,,600.0,,ITALY
1654,10.0,20.0,,40.1,3.6,,,,,SPAIN
1654,,,,-12.1,-76.6,,,11000.0,,PERU
1655,1.0,,,35.0,25.0,,,,,GREECE
1655,11.0,13.0,Yes,-12.3,-77.6,30.0,7.7,,,PERU
1656,,,,34.4,35.85,,,,,LEBANON
1656,,,,-12.5,-77.0,,,11000.0,,PERU
1657,2.0,15.0,,47.1,0.6,,,,,FRANCE
1657,3.0,15.0,Yes,-36.83,-73.03,,8.0,,,CHILE
1657,4.0,21.0,,31.5,103.6,,6.0,,,CHINA
1657,7.0,9.0,Yes,-33.5,-70.7,,,,,CHILE
1657,12.0,,Yes,-3.0,128.0,,,,,INDONESIA
1657,,,,-12.4,-76.8,,,11000.0,,PERU
1658,2.0,3.0,,39.4,115.7,,6.0,,,CHINA
1658,2.0,14.0,,-8.1,-79.0,,,,,PERU
1658,8.0,1.0,,38.0,21.0,,,,,GREECE
1658,8.0,20.0,,14.4,120.6,,,,,PHILIPPINES
1659,4.0,21.0,,37.5,140.0,,,39.0,,JAPAN
1659,9.0,30.0,,,,,,,,EL SALVADOR
1659,11.0,5.0,,38.7,16.3,,,2035.0,,ITALY
1659,11.0,9.0,Yes,-6.92,129.125,,,,,INDONESIA
1660,3.0,,,38.4,22.4,,,2.0,,GREECE
1660,6.0,21.0,,43.1,0.2,,,,,FRANCE
1660,10.0,27.0,,-0.2,-78.5,,7.7,,,ECUADOR
1660,,,,44.63,10.93,,,,,ITALY
1660,,,,35.3,-2.97,,,,,MOROCCO
1661,1.0,8.0,Yes,23.0,120.2,,6.0,,,TAIWAN
